,t,x,y
0,0.088191,44.0,28.0
1,0.329496,44.0,28.0
2,0.573036,46.0,28.0
3,0.818695,44.0,28.0
4,1.505171,46.0,28.0
5,1.599134,48.0,28.0
6,2.014683,46.0,28.0
7,2.126372,48.0,28.0
8,2.396338,48.0,30.0
9,2.635603,48.0,30.0
10,3.049515,50.0,30.0
11,3.160959,50.0,28.0
12,3.677944,48.0,30.0
13,4.225065,48.0,30.0
14,4.466239,46.0,28.0
15,4.867585,48.0,28.0
16,4.979895,48.0,28.0
17,5.39855,50.0,30.0
18,6.180435,50.0,26.0
19,6.464536,46.0,26.0
20,6.831205,52.0,28.0
21,7.526815,50.0,28.0
22,7.797002,50.0,26.0
23,8.046172,50.0,30.0
24,8.319043,48.0,28.0
25,8.696467,48.0,28.0
26,8.940082,50.0,28.0
27,9.356677,52.0,28.0
28,9.875126,50.0,28.0
29,10.011309,44.0,30.0
30,10.287575,48.0,26.0
31,10.799958,48.0,28.0
32,11.206034,46.0,30.0
33,11.312014,48.0,28.0
34,11.966064,46.0,28.0
35,12.347428,46.0,26.0
36,12.591063,48.0,28.0
37,13.010397,48.0,26.0
38,13.101914,46.0,26.0
39,13.345701,48.0,28.0
40,13.586914,46.0,26.0
41,13.997484,46.0,28.0
42,14.10782,46.0,26.0
43,14.648295,48.0,26.0
44,14.893238,46.0,28.0
45,15.175852,46.0,28.0
46,15.582275,46.0,26.0
47,15.694811,48.0,26.0
48,15.961237,46.0,28.0
49,16.378782,46.0,28.0
50,16.902312,46.0,26.0
51,17.179213,46.0,28.0
52,17.301847,46.0,28.0
53,17.827906,46.0,28.0
54,18.785181,42.0,26.0
55,19.069642,46.0,28.0
56,19.442262,44.0,26.0
57,20.136104,42.0,28.0
58,20.409504,44.0,26.0
59,20.50791,42.0,26.0
60,20.9253,42.0,26.0
61,21.052956,44.0,26.0
62,22.330615,42.0,28.0
63,22.844794,42.0,28.0
64,23.368175,40.0,26.0
65,23.61149,42.0,26.0
66,24.030523,40.0,28.0
67,24.12714,42.0,28.0
68,24.670654,42.0,26.0
69,24.91792,38.0,26.0
70,25.600043,38.0,30.0
71,25.713028,42.0,28.0
72,26.91974,38.0,30.0
73,27.743412,40.0,28.0
74,28.011301,36.0,26.0
75,28.391749,36.0,28.0
76,28.634106,38.0,30.0
77,30.147074,38.0,26.0
