,t,x,y
0,0.105257,58.0,24.0
1,0.105257,58.0,28.0
2,0.105257,54.0,28.0
3,0.105257,56.0,30.0
4,0.3492,58.0,28.0
5,0.3492,62.0,32.0
6,0.761869,60.0,30.0
7,0.865973,60.0,26.0
8,0.865973,68.0,32.0
9,0.865973,58.0,30.0
10,0.865973,62.0,30.0
11,0.865973,62.0,32.0
12,1.270814,64.0,30.0
13,2.033009,60.0,34.0
14,2.033009,56.0,34.0
15,2.129811,64.0,40.0
16,2.129811,56.0,36.0
17,2.372361,60.0,34.0
18,2.372361,68.0,32.0
19,2.372361,54.0,32.0
20,2.621561,56.0,34.0
21,2.621561,60.0,32.0
22,2.621561,66.0,30.0
23,2.853729,56.0,32.0
24,2.853729,60.0,34.0
25,3.096834,60.0,30.0
26,3.096834,64.0,34.0
27,3.513964,60.0,30.0
28,3.513964,66.0,30.0
29,3.513964,62.0,36.0
30,3.513964,72.0,28.0
31,3.609517,68.0,26.0
32,3.609517,64.0,28.0
33,3.609517,62.0,32.0
34,3.609517,56.0,36.0
35,3.609517,58.0,34.0
36,3.860319,62.0,32.0
37,3.860319,62.0,36.0
38,3.860319,62.0,44.0
39,4.101764,64.0,36.0
40,4.101764,62.0,38.0
41,4.511426,66.0,34.0
42,4.511426,66.0,38.0
43,4.610256,66.0,34.0
44,5.024393,62.0,38.0
45,5.272536,62.0,38.0
46,5.272536,66.0,34.0
47,5.272536,58.0,40.0
48,5.376654,62.0,36.0
49,5.640172,64.0,40.0
50,6.018139,60.0,38.0
51,6.018139,58.0,32.0
52,6.131168,62.0,38.0
53,6.369409,66.0,38.0
54,6.369409,70.0,38.0
55,6.785805,60.0,36.0
56,6.892218,62.0,36.0
57,6.892218,68.0,38.0
58,7.297905,62.0,36.0
59,7.297905,68.0,30.0
60,7.297905,62.0,32.0
61,7.535744,70.0,36.0
62,7.535744,64.0,36.0
63,7.535744,60.0,32.0
64,7.647858,64.0,36.0
65,7.647858,60.0,32.0
66,7.647858,68.0,30.0
67,7.647858,66.0,38.0
68,7.886238,64.0,36.0
69,7.886238,58.0,34.0
70,8.299979,66.0,32.0
71,8.299979,62.0,36.0
72,8.299979,60.0,32.0
73,8.402634,66.0,34.0
74,8.818189,64.0,34.0
75,8.818189,70.0,36.0
76,8.922377,64.0,34.0
77,9.323952,66.0,32.0
78,9.323952,70.0,36.0
79,9.439394,68.0,36.0
80,9.672431,68.0,34.0
81,9.672431,62.0,30.0
82,10.090488,66.0,32.0
83,10.090488,72.0,32.0
